name;5155;6211;9003
S1_0;5344.78;6521.32;9390.15
S1_1;4851.29;5765.9;8638.85
S1_2;5200;6295.39;9098.84
S1_3;5431.89;6571.8;9507.17
S1_4;4987.72;6014.46;8716.78
S1_5;5075.06;6147.95;8806.55
S1_6;5174.77;6184.75;8832.78
S1_8;5141.35;6145.95;8733.32
S1_9;5665.76;6864.69;9862.6
S1_10;4750;5646.72;8090
S1_11;5148.34;6118.18;8700
S1_12;5269.14;6376.03;9100.8
S1_13;5039.51;6019.4;8477.99
S1_14;5136.65;6147.3;8696.53
S1_15;5202.6;6236.39;8948.24
S2_1;5225.24;6270.82;8913.33
S2_2;5157.95;6243.02;8953.93
S2_5;4955.22;6397.37;10341.9
S2_6;5000;6026.27;8644.04
S2_8;5093.26;6270.23;9705.96
S2_9;5267.45;6269.69;9001.3
S2_10;4955.22;6204.11;9000
S2_11;5413.9;6383.81;10201.5
S2_12;5198.14;6220.75;8850.75
S2_13;5128.59;6127.78;8691.94
S2_14;5116.71;6148.5;8691.66
S2_15;5076.84;6103.42;8580.56
